title,year,month,day,hour,minute,article,cleaned_text,label,location,latitude,longitude
"Cops seize submachine gun, detain 4 during anti-crime raids",2024,7,31,13,4,"Police seized a submachine gun and arrested four suspects during ongoing ramped-up anti-crime exercises across the country. According to a Trinidad and Tobago Police Service report, North Eastern Division Task Force officers proceeded to the Petit Bourg district between 8pm and midnight. They searched an abandoned building where they found one HK UMP rifle under the wooden flooring of the structure. Meanwhile, during an exercise on Tuesday, officers of the Divisional Gang and Intelligence Unit Department received information relative to a report of larceny of a stolen vehicle and proceeded to the Carapichaima district. There, they arrested one 38-year-old man in connection with the report and recovered the vehicle. Later on that same day, the same party of officers proceeded to the Port of Spain district, where they stopped a black Nissan Frontier motor vehicle with one male occupant. A search of the vehicle resulted in the discovery of approximately 10kilogrammes of marijuana.A 39-year-old Sea Lots man was arrested in connection with the find. And, in the Southern Division, Task Force officers conducted an exercise during which they stopped a white Toyota Aqua motor vehicle that was proceeding along Lady Hailes Avenue, San Fernando. A search of the vehicle resulted in the discovery of 17 plastic bagscontaining 1.5 kilogrammes of marijuana. Two men, ages 42 and 62, both of San Fernando, were arrested in connection with the find.",police seized submachine gun arrested four suspect ongoing rampedup anticrime exercise across country according trinidad tobago police service report north eastern division task force officer proceeded petit bourg district pm midnight searched abandoned building found one hk ump rifle wooden flooring structure meanwhile exercise tuesday officer divisional gang intelligence unit department received information relative report larceny stolen vehicle proceeded carapichaima district arrested one yearold man connection report recovered vehicle later day party officer proceeded port spain district stopped black nissan frontier motor vehicle one male occupant search vehicle resulted discovery approximately kilogrammes marijuanaa yearold sea lot man arrested connection find southern division task force officer conducted exercise stopped white toyota aqua motor vehicle proceeding along lady hailes avenue san fernando search vehicle resulted discovery plastic bagscontaining kilogrammes marijuana two men age san fernando arrested connection find,non-shooting,N/A,,
$71K missing from Macoya business' account,2024,7,31,10,18,"Police are investigating a report in which over $70,000 is believed to have been stolen from a business place. On Monday, a worker at VEMCO went to the police and reported that he was informed by an accountant that a total of $71,362 collected by a security officer days earlier, was yet to be deposited into the company's account. He checked the run sheet for July 22, and discovered that the serial number assigned to a particular bag was crossed off but was not deposited to the cash in transit department. As a result, the police were notified. The security officer is expected to be questioned. PC Norville is continuing inquiries.",police investigating report believed stolen business place monday worker vemco went police reported informed accountant total collected security officer day earlier yet deposited company account checked run sheet july discovered serial number assigned particular bag crossed deposited cash transit department result police notified security officer expected questioned pc norville continuing inquiry,non-shooting,N/A,,
Cop shot during robbery attempt in Barataria,2024,7,31,8,30,"A 39-year-old police officer from Diego Martin was shot in Barataria during a robbery attempt last night. The officer is attached to the Santa Cruz Police Station. According to police reports, at 9pm yesterday, the officer got into his van which was parked near the YH Supermarket at thecorner of Ninth Street and Ninth Avenue, Barataria when a white coloured Nissan Tiida parked behind him. The officer saw two men exit the Tiida. One man ran up to the driver's side and the other to the front passenger window. One of the suspects was holding a firearm. One of the men opened the front passenger door and announced a hold-up. The officer said he then heard an explosion. The officer pulled out his licensed firearm and shot at the two suspects. The suspects turned and ran, but thearmed suspect shot back in the direction of the van. Both men got into the Tiida and sped off. The 39-year-old police officer soon felt a burning sensation to his right arm and realised he had been shot. He contacted his colleagues in the North Eastern Division and officers from the Barataria CID, led by PC Castillo and PC Bhajan, were first on the scene. The area was cordoned off, and the injured police officer was taken to the Eric Williams Medical Sciences Complex in Mt Hope for treatment. His condition was listed as stable up to 9am today. Officers from the North Eastern Division led by Sup Birch responded and are continuing inquiries.",yearold police officer diego martin shot barataria robbery attempt last night officer attached santa cruz police station according police report pm yesterday officer got van parked near yh supermarket thecorner ninth street ninth avenue barataria white coloured nissan tiida parked behind officer saw two men exit tiida one man ran driver side front passenger window one suspect holding firearm one men opened front passenger door announced holdup officer said heard explosion officer pulled licensed firearm shot two suspect suspect turned ran thearmed suspect shot back direction van men got tiida sped yearold police officer soon felt burning sensation right arm realised shot contacted colleague north eastern division officer barataria cid led pc castillo pc bhajan first scene area cordoned injured police officer taken eric williams medical science complex mt hope treatment condition listed stable today officer north eastern division led sup birch responded continuing inquiry,non-fatal shooting,Diego martin,10.7202,-61.5562
Coastguardsman due in court after accident involving police officer,2024,7,30,14,20,"A member of the Trinidad and Tobago Coast Guard (TTCG) is expected to appear before a Port of Spain Magistrate, charged with driving under the influence, after he got into a motor vehicular accident with a police officer. The incident took place at about 9:45pm on Monday along the Santa Cruz Old Road. Investigators were told that the police officer was driving a marked police vehicle in a northerly direction along Santa Cruz Old Road, when upon reaching the vicinity of Duncan Trace, she attempted to overtake a parked vehicle by entering the southbound lane. At the same time the 25-year-old coastguardsman was driving in the opposite direction in a silver Honda City. The two cars came into contact with one another. However, no one was injured. While giving a statement at the Santa Cruz police station, PC Heeraman detected a scent of alcohol emanating from the breath of the 25-year-old, and that his speech was slurred. The Traffic and Highway Patrol Branch was contacted, and the 25-year-old was subsequently tested by PC Mahase, where he produced a reading of 61 Micrograms per ml of breath - almost twice the legal limit. He was charged for the offence of driving under the influence by PC Heeraman, and subsequently granted bail to appear at the Port of Spain Magistrates Court on August 18. Sgt Lezama is continuing inquiries. More on this as it becomes available.",member trinidad tobago coast guard ttcg expected appear port spain magistrate charged driving influence got motor vehicular accident police officer incident took place pm monday along santa cruz old road investigator told police officer driving marked police vehicle northerly direction along santa cruz old road upon reaching vicinity duncan trace attempted overtake parked vehicle entering southbound lane time yearold coastguardsman driving opposite direction silver honda city two car came contact one another however one injured giving statement santa cruz police station pc heeraman detected scent alcohol emanating breath yearold speech slurred traffic highway patrol branch contacted yearold subsequently tested pc mahase produced reading microgram per ml breath almost twice legal limit charged offence driving influence pc heeraman subsequently granted bail appear port spain magistrate court august sgt lezama continuing inquiry becomes available,non-fatal shooting,Port spain,10.66,-61.508
"Bizarre: Cop injured after woman demands doubles, runs out of station",2024,7,30,14,6,"San Fernando police are searching for a woman whose strange actions led to a police constable being hospitalized. The incident was reported around 4:25 am on Monday morning at the San Fernando Police Station. A woman entered the building and made her way to charge room. Officers said the woman placed her hand underneath the plexiglass at the front of the reception area and began banging against the counter, demanding doubles. The said woman then grabbed an item from on the counter, and ran out through a glass door in the reception area. The officer gave chase however, as he attempted to exit the glass door on the eastern side of the Charge Room, the said woman pushed the door and it swung back hitting him and shattering. He was conveyed to the San Fernando General Hospital where he was treated for multiple lacerations to both legs, both arms, abdomen, chest, and face. More on this as it becomes available.",san fernando police searching woman whose strange action led police constable hospitalized incident reported around monday morning san fernando police station woman entered building made way charge room officer said woman placed hand underneath plexiglas front reception area began banging counter demanding double said woman grabbed item counter ran glass door reception area officer gave chase however attempted exit glass door eastern side charge room said woman pushed door swung back hitting shattering conveyed san fernando general hospital treated multiple laceration leg arm abdomen chest face becomes available,non-fatal shooting,San fernando,10.2833,-61.4667
Injured men drive themselves to hospital after Arima shooting,2024,7,30,13,56,"Three men who were shot in Arima on Monday night managed to drive themselves to hospital, where they are being treated. According to police reports, the incident took place around 7pm at the Heights of Guanapo. The victims, who are said to be aged 38, 37, and 36, were liming at an estate located just beyond the quarry they heard several loud explosions. The trio ran to a nearby van, but upon realizing that they had all been shot, they got into the van and drove to the Arima Hospital. A masked man, who appeared to be holding a handgun, was observed fleeing the scene. The police were notified and officers from the northern Division responded. The three victims are all said to be in stable condition. Sgt Haynes is continuing inquiries. More on this as it becomes available.",three men shot arima monday night managed drive hospital treated according police report incident took place around pm height guanapo victim said aged liming estate located beyond quarry heard several loud explosion trio ran nearby van upon realizing shot got van drove arima hospital masked man appeared holding handgun observed fleeing scene police notified officer northern division responded three victim said stable condition sgt haynes continuing inquiry becomes available,non-fatal shooting,Arima,10.6333,-61.2833
Woman gunned down outside Arima home,2024,7,30,12,37,"A 26-year-old woman was shot dead by gunmen at an Arima home. Authorities have identified the deceased as Jamiela Cumberbatch of La Retreat Road, Arima. Police were told that at around midnight on Monday, Cumberbatch was seated outside the home with her 24-year-old boyfriend when two men entered the yard. The suspects opened fire on the bed, hitting Cumberbatch several times. The suspects then fled the scene. The police and emergency health services were notified and the injured woman was conveyed to the Arima Hospital. However, she was pronounced dead at 2:45 am that morning. Police said 18 spent 9mm shells were found at the scene of the shooting. More on this as it becomes available.",yearold woman shot dead gunman arima home authority identified deceased jamiela cumberbatch la retreat road arima police told around midnight monday cumberbatch seated outside home yearold boyfriend two men entered yard suspect opened fire bed hitting cumberbatch several time suspect fled scene police emergency health service notified injured woman conveyed arima hospital however pronounced dead morning police said spent mm shell found scene shooting becomes available,fatal shooting,Arima,10.6333,-61.2833
Teen girl shot in San Juan ,2024,7,30,10,10,"A 17-year-old girl was shot in San Juan yesterday morning. The victim told police at about 1:30am she was driving a Kia Cerato along Charlo Lane off Laventille Road with her boyfriend. Shortly after hitting the road, the couple heard several gunshots, and the teenager then felt a burning sensation in her left hand. Because of the sudden pain, the girl let go of the steering wheel and lost control of the car. It then hit another vehicle which was parked on the roadway. The couple exited and they both ran for safety. They were not pursued. The police and emergency health services were notified, and the injured teenager was taken to the Eric Williams Medical Sciences Complex in Mt Hope. Her condition is said to be stable. Police found and seized four spent 5.56mm shells and 9mm shells at the scene. PC Marshall is continuing enquiries.",yearold girl shot san juan yesterday morning victim told police driving kia cerato along charlo lane laventille road boyfriend shortly hitting road couple heard several gunshot teenager felt burning sensation left hand sudden pain girl let go steering wheel lost control car hit another vehicle parked roadway couple exited ran safety pursued police emergency health service notified injured teenager taken eric williams medical science complex mt hope condition said stable police found seized four spent mm shell mm shell scene pc marshall continuing enquiry,non-fatal shooting,Laventille,10.6572,-61.4956
Two injured in Barataria early morning shooting,2024,7,29,16,34,"Update July 30, 2024: Police have no motive for Monday's shooting in Barataria that has left two men warded in serious conditions. The victims are said to be a 43-year-old CEPEP worker and a 50-year-old man. Around 7:55 am on Monday morning, the 43-year-old was cutting grass on 9th Street, Malick, Barataria, in the vicinity of the basketball court, when a green Nissan B15 pulled up next to him. Two men, both armed with firearms, exited the vehicle, and fired several shots at the CEPEP worker, hitting him in his legs. He became fearful for his life and began running in a southerly direction, while being chased by the two men, who continued firing at him. The suspects ran into a dirt road, opposite Seventh Street, Malick, while still firing. It was here that the 50-year-old was shot. The B15 then pulled up next to them and the suspects entered the car and escaped. The police and emergency health services were notified and the two injured men were taken for medical treatment. Fourteen spent 9mm shells were found at the scene of the shooting. WPC Nahkid is continuing enquiries. More on this as it becomes available. Original story: While many were focused on going to work, violence was the goal for gunmen who opened fire and injured two men in Barataria on Monday morning. According to police reports, around 8:30 am on Sixth Avenue, people in the area heard apparent gunfire, and upon investigating, found two men lying, bleeding, on the ground. Both men appeared to have been shot several times. Meanwhile, a group of men was seen fleeing the scene. The police and emergency health services were notified and officers from the North Eastern Division responded. More on this as it becomes available.",update july police motive monday shooting barataria left two men warded serious condition victim said yearold cepep worker yearold man around monday morning yearold cutting grass th street malick barataria vicinity basketball court green nissan b pulled next two men armed firearm exited vehicle fired several shot cepep worker hitting leg became fearful life began running southerly direction chased two men continued firing suspect ran dirt road opposite seventh street malick still firing yearold shot b pulled next suspect entered car escaped police emergency health service notified two injured men taken medical treatment fourteen spent mm shell found scene shooting wpc nahkid continuing enquiry becomes available original story many focused going work violence goal gunman opened fire injured two men barataria monday morning according police report around sixth avenue people area heard apparent gunfire upon investigating found two men lying bleeding ground men appeared shot several time meanwhile group men seen fleeing scene police emergency health service notified officer north eastern division responded becomes available,non-fatal shooting,Unknown,,
Woman injured by stray bullet near nightclub,2024,7,29,16,12,"A 19-year-old woman was shot following a confrontation at a nightclub in Chaguanas. The incident took place around 5am on Saturday at a popular club along the Chaguanas Main Road. The victim told police that she was standing in the premises when she observed a scuffle between two men she did not know. She said she then heard a loud explosion and felt a burning sensation in her left leg. She soon realized she had been shot. The victim raised an alarm and was taken to the Eric Williams Medical Sciences Complex for treatment. Up to yesterday, she was expected to undergo emergency surgery as the bullet was said to be still lodged in her leg. However, her condition is listed as stable as the injury is not life-threatening. A team of officers from the Central Division, led by PC Ramsubhag responded to the report and made checks for the suspects. However, they could not be located. CCTV footage has however been handed over to investigators who are expected to review it to identify the shooter. More on this as it becomes available.",yearold woman shot following confrontation nightclub chaguanas incident took place around saturday popular club along chaguanas main road victim told police standing premise observed scuffle two men know said heard loud explosion felt burning sensation left leg soon realized shot victim raised alarm taken eric williams medical science complex treatment yesterday expected undergo emergency surgery bullet said still lodged leg however condition listed stable injury lifethreatening team officer central division led pc ramsubhag responded report made check suspect however could located cctv footage however handed investigator expected review identify shooter becomes available,non-fatal shooting,Chaguanas,10.5167,-61.4167
